Fri Sep  1 12:50:16.569 PDT
RP/0/RP0/CPU0:Sep  1 09:08:42.033 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.36 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:08:42.033 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.38 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:08:42.034 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.34 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:09:10.666 : resmon[380]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Minor with 755.592MB free. Previous state: Normal 
RP/0/RP0/CPU0:Sep  1 09:09:10.667 : resmon[380]: %HA-HA_WD-6-TOP_MEMORY_USERS_INFO : Top 5 consumers of system memory (812800 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 09:09:10.667 : resmon[380]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 0: Process Name: ./pipeline[0], pid: 24491, Heap usage: 3543768 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:10.667 : resmon[380]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 1: Process Name: emsd[0], pid: 7742, Heap usage: 1103028 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:10.667 : resmon[380]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 2: Process Name: prm_server[0], pid: 3153, Heap usage: 285832 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:10.667 : resmon[380]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 3: Process Name: fib_mgr[0], pid: 3823, Heap usage: 155772 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:10.667 : resmon[380]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 4: Process Name: spp[0], pid: 2692, Heap usage: 103728 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:21.392 : resmon[380]: %HA-HA_WD-4-MEMORY_STATE_CHANGE : New memory state: Severe 
RP/0/RP0/CPU0:Sep  1 09:09:21.393 : resmon[380]: %HA-HA_WD-4-TOP_MEMORY_USERS_WARNING : Top 5 consumers of system memory (674616 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 09:09:21.393 : resmon[380]: %HA-HA_WD-4-TOP_MEMORY_USER_WARNING : 0: Process Name: ./pipeline[0], pid: 24491, Heap usage 3669656 Kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:21.393 : resmon[380]: %HA-HA_WD-4-TOP_MEMORY_USER_WARNING : 1: Process Name: emsd[0], pid: 7742, Heap usage 1116872 Kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:21.393 : resmon[380]: %HA-HA_WD-4-TOP_MEMORY_USER_WARNING : 2: Process Name: prm_server[0], pid: 3153, Heap usage 285832 Kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:21.393 : resmon[380]: %HA-HA_WD-4-TOP_MEMORY_USER_WARNING : 3: Process Name: fib_mgr[0], pid: 3823, Heap usage 155772 Kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:21.393 : resmon[380]: %HA-HA_WD-4-TOP_MEMORY_USER_WARNING : 4: Process Name: spp[0], pid: 2692, Heap usage 103728 Kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:22.396 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.14.38 reset due to SEVERE low memory condition - use 'clear bgp 172.31.14.38' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:09:22.399 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.38 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:09:22.399 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.14.36 reset due to SEVERE low memory condition - use 'clear bgp 172.31.14.36' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:09:22.399 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.36 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:09:22.399 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.14.34 reset due to SEVERE low memory condition - use 'clear bgp 172.31.14.34' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:09:22.399 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.34 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:09:22.399 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.12.38 reset due to SEVERE low memory condition - use 'clear bgp 172.31.12.38' to re-enable 
