Fri Sep  1 19:50:04.981 UTC
RP/0/RP0/CPU0:Sep  1 16:16:09.698 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1228 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:31.341 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.24 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:16:31.344 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1324 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:16:34.774 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.26 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:16:34.775 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.28 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:16:34.778 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.30 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:16:34.783 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1430 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:16:34.783 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1428 Down - Peer closing down the session (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:16:34.789 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1426 Down - Peer closing down the session (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:16:37.113 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.26 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:16:39.227 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.26 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:41.572 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1226 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:41.952 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.26 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:42.714 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.30 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:45.221 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1126 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:46.648 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1230 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:47.171 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.24 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:47.624 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1128 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:48.066 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1328 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:16:49.362 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.28 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:49.992 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.28 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:51.006 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1130 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:51.281 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.30 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:16:52.488 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1330 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:16:53.755 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1326 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:16:55.249 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1228 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:58.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.24 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:59.110 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1124 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:00.319 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1224 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:17:00.498 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.30 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:17:01.123 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.28 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:17:05.526 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.28 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:06.503 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1428 Up (VRF: default) (AS: 65014) 
