Fri Sep  1 12:52:04.447 PDT
RP/0/RP0/CPU0:Sep  1 09:17:19.561 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.25.0 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65025) 
RP/0/RP1/CPU0:Sep  1 09:17:19.562 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 172.31.25.0 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP1/CPU0:Sep  1 09:17:19.563 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 172.31.25.2 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:19.563 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.25.2 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:17:19.569 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2500 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65025) 
RP/0/RP1/CPU0:Sep  1 09:17:19.570 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 2001:420:289:2000:0:1ab:fab0:2500 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP1/CPU0:Sep  1 09:17:19.570 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 2001:420:289:2000:0:1ab:fab0:2502 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:19.569 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2502 Down - Peer closing down the session (CEASE notification sent - hold time expired) (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:17:22.735 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.26.0 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65026) 
RP/0/RP1/CPU0:Sep  1 09:17:22.736 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 172.31.26.0 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:22.735 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.26.2 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65026) 
RP/0/RP1/CPU0:Sep  1 09:17:22.736 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 172.31.26.2 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:22.738 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2600 Down - Peer closing down the session (VRF: default) (AS: 65026) 
RP/0/RP1/CPU0:Sep  1 09:17:22.738 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 2001:420:289:2000:0:1ab:fab0:2600 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:22.738 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2602 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65026) 
RP/0/RP1/CPU0:Sep  1 09:17:22.739 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 2001:420:289:2000:0:1ab:fab0:2602 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:25.960 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.27.2 Down - Peer closing down the session (CEASE notification sent - hold time expired) (VRF: default) (AS: 65027) 
RP/0/RP1/CPU0:Sep  1 09:17:25.961 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 172.31.27.2 on standby RP due to BGP Notification received (VRF: default) 
