Fri Sep  1 12:49:29.836 PDT
RP/0/RP0/CPU0:Sep  1 09:08:59.337 : resmon[236]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Minor with 798.463MB free. Previous state: Normal 
RP/0/RP0/CPU0:Sep  1 09:08:59.338 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USERS_INFO : Top 5 consumers of system memory (817414 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 09:08:59.338 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 0: Process Name: ./pipeline[0], pid: 11884, Heap usage: 3436176 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:59.338 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 1: Process Name: emsd[0], pid: 7896, Heap usage: 1125348 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:59.338 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 2: Process Name: prm_server[0], pid: 3165, Heap usage: 286020 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:59.338 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 3: Process Name: fib_mgr[0], pid: 3886, Heap usage: 147752 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:59.338 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 4: Process Name: spp[0], pid: 2702, Heap usage: 99804 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:10.380 : /pkg/sbin/sysmgr_log[69281]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/resmon_debug_mem_script invoked by (Resmon). No LTRACE dump for ./pipeline 
RP/0/RP0/CPU0:Sep  1 09:09:10.464 : /pkg/sbin/sysmgr_log[69288]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/resmon_debug_mem_script invoked by pid 2814 (Resmon). Output is in /misc/scratch//resmon_debug/debug_mem.node0_RP0_CPU0.11884.log 
RP/0/RP0/CPU0:Sep  1 09:09:16.012 : resmon[236]: %HA-HA_WD-6-MEMORY_RECOVERY_RESTART : Process ./pipeline[0] (pid 11884) using 3612656 kbytes of heap memory will be killed. It will be restarted if it is managed by sysmgr. 
RP/0/RP0/CPU0:Sep  1 09:10:18.711 : resmon[236]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Normal with 4142.352MB free. Previous state: Minor 
