Fri Sep  1 12:49:44.892 PDT
RP/0/RP0/CPU0:Sep  1 09:08:52.749 : resmon[381]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Minor with 795.922MB free. Previous state: Normal 
RP/0/RP0/CPU0:Sep  1 09:08:52.750 : resmon[381]: %HA-HA_WD-6-TOP_MEMORY_USERS_INFO : Top 5 consumers of system memory (814522 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 09:08:52.750 : resmon[381]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 0: Process Name: ./pipeline[0], pid: 25267, Heap usage: 3498052 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:52.750 : resmon[381]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 1: Process Name: emsd[0], pid: 7673, Heap usage: 1085060 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:52.750 : resmon[381]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 2: Process Name: prm_server[0], pid: 3118, Heap usage: 299088 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:52.750 : resmon[381]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 3: Process Name: fib_mgr[0], pid: 3836, Heap usage: 152232 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:52.750 : resmon[381]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 4: Process Name: spp[0], pid: 2694, Heap usage: 104108 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:09:03.751 : /pkg/sbin/sysmgr_log[68065]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/resmon_debug_mem_script invoked by (Resmon). No LTRACE dump for ./pipeline 
RP/0/RP0/CPU0:Sep  1 09:09:03.855 : /pkg/sbin/sysmgr_log[68072]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/resmon_debug_mem_script invoked by pid 2744 (Resmon). Output is in /misc/scratch//resmon_debug/debug_mem.node0_RP0_CPU0.25267.log 
RP/0/RP0/CPU0:Sep  1 09:09:09.358 : resmon[381]: %HA-HA_WD-6-MEMORY_RECOVERY_RESTART : Process ./pipeline[0] (pid 25267) using 3634904 kbytes of heap memory will be killed. It will be restarted if it is managed by sysmgr. 
