Fri Sep  1 12:50:43.683 PDT
RP/0/RP0/CPU0:Sep  1 09:08:42.029 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.62 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:08:42.030 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.60 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:08:42.031 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.58 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:12:42.035 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1362 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:12:42.035 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1360 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:12:42.039 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1358 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:06.276 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.56 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.276 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.58 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.278 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.62 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.278 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.60 Down - Peer closing down the session (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.292 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1156 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
