Fri Sep  1 12:50:33.903 PDT
RP/0/RP0/CPU0:Sep  1 09:16:34.784 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1448 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:34.790 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1452 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:34.791 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1454 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:34.791 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1450 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:37.533 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1350 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:41.565 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.48 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:42.066 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.52 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:42.121 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1250 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:43.900 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1154 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:44.975 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1254 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:45.473 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.52 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:47.371 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.48 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:47.745 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1152 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:48.296 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1352 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:51.145 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.50 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:52.900 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1148 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:54.075 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1150 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:57.387 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.54 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:57.491 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1248 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:58.289 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.50 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:58.596 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.50 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:59.927 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.52 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:00.099 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.54 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:00.755 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1348 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:01.791 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1354 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:01.840 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1252 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:04.124 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.48 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:04.442 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1450 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:04.749 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1448 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:05.925 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.50 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:06.447 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1454 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:07.526 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1452 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:12.662 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.48 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:14.020 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.52 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:17.824 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.54 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:22.738 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.26.66 Down - Peer closing down the session (VRF: default) (AS: 65026) 
RP/0/RP0/CPU0:Sep  1 09:17:23.364 : SSHD_[67878]: %SECURITY-SSHD-6-INFO_SUCCESS : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256') 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.48 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.50 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.52 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.54 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.48 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.50 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.52 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.54 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.48 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.50 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.52 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:25.953 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.54 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.48 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.50 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.52 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.54 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.27.1 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65502) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.27.3 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65502) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.27.31 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 64003) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.27.41 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 64004) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.27.79 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65028) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1148 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1150 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1152 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1154 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1248 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1250 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1252 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1254 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1348 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1350 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1352 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1354 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1448 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1450 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1452 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1454 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2701 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65502) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2703 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65502) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:7:a3a:2731 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 64003) 
RP/0/RP0/CPU0:Sep  1 09:17:25.954 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:7:a4a:2741 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 64004) 
RP/0/RP0/CPU0:Sep  1 09:17:25.960 : bgp[1050]: %ROUTING-BGP-5-NSR_STATE_CHANGE : Changed state to NSR-Ready 
RP/0/RP0/CPU0:Sep  1 09:17:26.048 : SSHD_[67878]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Sep  1 09:17:36.479 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.27.31 Up (VRF: default) (AS: 64003) 
RP/0/RP0/CPU0:Sep  1 09:17:36.480 : bgp[1050]: %ROUTING-BGP-5-NSR_STATE_CHANGE : Changed state to Not NSR-Ready 
RP/0/RP0/CPU0:Sep  1 09:17:37.925 : SSHD_[67921]: %SECURITY-SSHD-6-INFO_SUCCESS : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256') 
RP/0/RP0/CPU0:Sep  1 09:17:37.991 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:7:a3a:2731 Up (VRF: default) (AS: 64003) 
RP/0/RP0/CPU0:Sep  1 09:17:38.091 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:7:a4a:2741 Up (VRF: default) (AS: 64004) 
RP/0/RP0/CPU0:Sep  1 09:17:38.592 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.27.41 Up (VRF: default) (AS: 64004) 
RP/0/RP0/CPU0:Sep  1 09:17:38.736 : SSHD_[67921]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Sep  1 09:17:52.385 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.27.1 Up (VRF: default) (AS: 65502) 
RP/0/RP0/CPU0:Sep  1 09:17:53.537 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.48 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:53.629 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.52 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:54.444 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.26.66 Up (VRF: default) (AS: 65026) 
RP/0/RP0/CPU0:Sep  1 09:17:55.073 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.54 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:55.111 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1154 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:55.281 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1150 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:17:55.568 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.48 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:56.026 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1248 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:56.912 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1348 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:57.069 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1448 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:57.073 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.54 Up (VRF: default) (AS: 65012) 
