Fri Sep  1 12:51:23.775 PDT
RP/0/RP0/CPU0:Sep  1 02:32:35.342 : SSHD_[1149]: %SECURITY-SSHD-6-INFO_GENERAL : Incoming SSH session rate limit exceeded 
RP/0/RP0/CPU0:Sep  1 02:32:35.938 : SSHD_[68121]: %SECURITY-SSHD-3-ERR_GENERAL : User name in USERAUTH_REQUEST is null or blank 
RP/0/RP0/CPU0:Sep  1 08:54:59.131 : ifmgr[393]: %PKT_INFRA-LINK-3-UPDOWN : Interface HundredGigE0/0/0/8, changed state to Down 
RP/0/RP0/CPU0:Sep  1 08:54:59.131 : ifmgr[393]: %PKT_INFRA-LINEPROTO-5-UPDOWN : Line protocol on Interface HundredGigE0/0/0/8, changed state to Down 
RP/0/RP0/CPU0:Sep  1 08:54:59.134 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.17 Down - Interface flap (VRF: default) (AS: 65023) 
RP/0/RP0/CPU0:Sep  1 08:54:59.134 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1217 Down - Interface flap (VRF: default) (AS: 65023) 
RP/0/RP0/CPU0:Sep  1 08:54:59.464 : optics_driver[370]: %L2-OPTICS-2-TRANSCEIVER_REMOVED : Optics module 0/0/0/8 type QSFP_TYPE_100G_ACTIVE_OPTICAL_CABLE removed  
RP/0/RP0/CPU0:Sep  1 08:55:29.375 : ipv4_rib[1164]: %ROUTING-RIB-5-TABLE_NH_DAMPED : Nexthops in Vrf: default Tbl: default (0xe0000000) Safi: Unicast are getting damped 
RP/0/RP0/CPU0:Sep  1 08:57:09.676 : optics_driver[370]: %L2-OPTICS-6-TRANSCEIVER_INSERTED : Optics module 0/0/0/8 type QSFP_TYPE_100G_ACTIVE_OPTICAL_CABLE inserted  
RP/0/RP0/CPU0:Sep  1 08:57:12.097 : ifmgr[393]: %PKT_INFRA-LINK-3-UPDOWN : Interface HundredGigE0/0/0/8, changed state to Up 
RP/0/RP0/CPU0:Sep  1 08:57:12.099 : ifmgr[393]: %PKT_INFRA-LINEPROTO-5-UPDOWN : Line protocol on Interface HundredGigE0/0/0/8, changed state to Up 
RP/0/RP0/CPU0:Sep  1 08:57:14.798 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1217 Up (VRF: default) (AS: 65023) 
RP/0/RP0/CPU0:Sep  1 08:57:25.092 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.17 Up (VRF: default) (AS: 65023) 
RP/0/RP0/CPU0:Sep  1 09:08:07.662 : resmon[356]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Minor with 790.113MB free. Previous state: Normal 
RP/0/RP0/CPU0:Sep  1 09:08:07.663 : resmon[356]: %HA-HA_WD-6-TOP_MEMORY_USERS_INFO : Top 5 consumers of system memory (809038 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 09:08:07.663 : resmon[356]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 0: Process Name: ./pipeline[0], pid: 25062, Heap usage: 3406532 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:07.663 : resmon[356]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 1: Process Name: emsd[0], pid: 4369, Heap usage: 1132296 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:07.663 : resmon[356]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 2: Process Name: prm_server[0], pid: 3640, Heap usage: 310800 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:07.663 : resmon[356]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 3: Process Name: fib_mgr[0], pid: 4312, Heap usage: 162516 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:07.663 : resmon[356]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 4: Process Name: spp[0], pid: 3151, Heap usage: 100760 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:47.321 : /pkg/sbin/sysmgr_log[66084]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/resmon_debug_mem_script invoked by (Resmon). No LTRACE dump for ./pipeline 
RP/0/RP0/CPU0:Sep  1 09:08:47.391 : /pkg/sbin/sysmgr_log[66091]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/resmon_debug_mem_script invoked by pid 3290 (Resmon). Output is in /misc/scratch//resmon_debug/debug_mem.node0_RP0_CPU0.25062.log 
RP/0/RP0/CPU0:Sep  1 09:08:53.054 : resmon[356]: %HA-HA_WD-6-MEMORY_RECOVERY_RESTART : Process ./pipeline[0] (pid 25062) using 3547788 kbytes of heap memory will be killed. It will be restarted if it is managed by sysmgr. 
RP/0/RP0/CPU0:Sep  1 09:09:22.402 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.39 Down - BGP Notification received, out of resource (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:09:22.402 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.37 Down - BGP Notification received, out of resource (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:09:22.402 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.35 Down - BGP Notification received, out of resource (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:09:55.648 : resmon[356]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Normal with 4119.539MB free. Previous state: Minor 
