Fri Sep  1 12:51:40.927 PDT
RP/0/RP0/CPU0:Sep  1 09:08:43.381 : resmon[418]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Minor with 802.967MB free. Previous state: Normal 
RP/0/RP0/CPU0:Sep  1 09:08:43.382 : resmon[418]: %HA-HA_WD-6-TOP_MEMORY_USERS_INFO : Top 5 consumers of system memory (817234 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 09:08:43.382 : resmon[418]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 0: Process Name: ./pipeline[0], pid: 25042, Heap usage: 3513276 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:43.382 : resmon[418]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 1: Process Name: emsd[0], pid: 7769, Heap usage: 1091704 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:43.382 : resmon[418]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 2: Process Name: prm_server[0], pid: 3150, Heap usage: 288520 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:43.382 : resmon[418]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 3: Process Name: fib_mgr[0], pid: 3869, Heap usage: 163860 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:43.382 : resmon[418]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 4: Process Name: spp[0], pid: 2754, Heap usage: 104036 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:49.185 : /pkg/sbin/sysmgr_log[69201]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/resmon_debug_mem_script invoked by (Resmon). No LTRACE dump for ./pipeline 
RP/0/RP0/CPU0:Sep  1 09:08:49.257 : /pkg/sbin/sysmgr_log[69208]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/resmon_debug_mem_script invoked by pid 2803 (Resmon). Output is in /misc/scratch//resmon_debug/debug_mem.node0_RP0_CPU0.25042.log 
RP/0/RP0/CPU0:Sep  1 09:08:54.873 : resmon[418]: %HA-HA_WD-6-MEMORY_RECOVERY_RESTART : Process ./pipeline[0] (pid 25042) using 3700996 kbytes of heap memory will be killed. It will be restarted if it is managed by sysmgr. 
