Fri Sep  1 12:51:32.446 PDT
RP/0/RP0/CPU0:Sep  1 09:08:42.028 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.45 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65026) 
RP/0/RP0/CPU0:Sep  1 09:08:42.028 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.43 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.43' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:08:42.028 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.43 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65026) 
RP/0/RP0/CPU0:Sep  1 09:08:42.028 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.39 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.39' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:08:42.028 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.39 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:08:42.028 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.37 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.37' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:08:42.028 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.37 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:08:42.028 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.35 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.35' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:08:42.028 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.35 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:08:42.028 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.31 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.31' to re-enable 
