

Fri Aug  4 17:53:19.207 UTC
Syslog logging: enabled (0 messages dropped, 0 flushes, 0 overruns)
    Console logging: level warnings, 289 messages logged
    Monitor logging: level informational, 0 messages logged
    Trap logging: level informational, 0 messages logged
    Buffer logging: level debugging, 70 messages logged

Log Buffer (2097152 bytes):

RP/0/RP0/CPU0:Aug  4 17:40:17.079 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1124 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 17:40:17.647 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1128 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 17:40:18.704 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1130 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 17:40:19.373 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1126 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 17:40:22.798 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.30 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 17:40:27.867 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.28 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 17:40:29.614 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.24 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:40:29.614 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.26 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:40:29.615 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.28 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:40:29.618 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.30 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:40:29.627 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1224 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:40:29.628 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1226 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:40:29.629 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1228 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:40:29.629 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1230 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:40:31.330 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.24 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 17:40:57.133 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1230 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:40:58.673 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1226 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:41:02.373 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.30 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:41:05.744 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.24 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:41:07.367 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.28 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:41:07.688 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1224 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:41:09.832 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1228 Up (VRF: default) (AS: 65012) 
